,Name ,County ,Acres ,Start Date ,Contained Date ,Unnamed: 5
34,McCoy Fire[nb 1],San Diego,400,21-Oct-07,"October 26, 2007[32]",
35,Buckweed,Los Angeles,"38,356",21-Oct-07,1-Nov-07,
36,Santiago,Orange,"28,400",21-Oct-07,9-Nov-07,
37,Little Mountain Fire,San Bernardino,650,22-Oct-07,24-Oct-07,
38,Magic,Los Angeles,"2,824",22-Oct-07,27-Oct-07,
39,Slide,San Bernardino,"12,759",22-Oct-07,31-Oct-07,
40,Rice,San Diego,"9,472",22-Oct-07,1-Nov-07,
41,Grass Valley,San Bernardino,"1,247",22-Oct-07,29-Oct-07,
42,Meadowridge Fire,Los Angeles,"58,401",23-Oct-07,30-Oct-07,
43,Poomacha[nb 1],San Diego,"49,410",23-Oct-07,"November 13, 2007[8]",
44,Ammo (Horno) Fire,San Diego,"21,004",23-Oct-07,29-Oct-07,
45,Jack,Mariposa,"1,108",29-Oct-07,15-Dec-07,
46,Corral,Los Angeles,"4,901",24-Nov-07,27-Nov-07,
0,Wawona Nw,Mariposa,"1,130",9-Apr-08,19-Apr-08,
1,Honey Bee,Tulare,"1,225",6-May-08,23-May-08,
2,Colyear,Tehama,"1,331",6-May-08,9-May-08,
3,Avocado,Fresno,"1,100",20-May-08,21-May-08,
4,Summit,Santa Cruz,"4,270",22-May-08,27-May-08,
5,Clover,Tulare,"15,300",28-May-08,20-Jul-08,
6,Indians,Monterey,"81,378",8-Jun-08,10-Jul-08,
7,Jackson,Sacramento,"6,400",10-Jun-08,12-Jun-08,
8,Ophir,Butte,"1,600",10-Jun-08,13-Jun-08,
9,41,Madera,"3,300",10-Jun-08,11-Jun-08,
10,Lagrange,Tuolumne,"1,346",10-Jun-08,11-Jun-08,
11,Humboldt,Butte,"23,344",11-Jun-08,21-Jun-08,
12,Whiskey,Tehama,"7,783",12-Jun-08,22-Jun-08,
13,Albion River Lightning,Mendocino,"1,000",20-Jun-08,30-Jun-08,
14,Lime Complex,Trinity,"98,715",20-Jun-08,15-Aug-08,
15,Mad Complex,Trinity,"3,705",20-Jun-08,21-Jul-08,
16,Hells Half Complex,Trinity,"15,146",20-Jun-08,28-Jul-08,
17,South Complex,Humboldt,"29,327",20-Jun-08,15-Sep-08,
18,Brown Complex,San Benito,"3,870",21-Jun-08,24-Jun-08,
19,West Branch,Butte,"3,206",21-Jun-08,21-Jun-08,
20,Frey,Butte,"10,000",21-Jun-08,21-Jun-08,
21,Flea Valley,Butte,"1,248",21-Jun-08,21-Jun-08,
22,Flea Valley 2,Butte,"1,248",21-Jun-08,21-Jun-08,
23,Paradise,Humboldt,"1,076",21-Jun-08,1-Aug-08,
24,Blue 2 Complex,Siskiyou,"82,186",20-Jun-08,Merged into the Klamath Theater Complex Fire,
25,Popcorn,Lassen,"3,000",21-Jun-08,22-Jun-08,
26,Cub Complex,Lassen,"19,718",21-Jun-08,20-Jul-08,
27,Peterson Complex,Lassen,"7,842",21-Jun-08,2-Jul-08,
28,Wild,Napa,"4,200",21-Jun-08,26-Jun-08,
29,Basin Complex,Monterey,"162,818",21-Jun-08,27-Jul-08,
30,Wagers Lightning,Mendocino,"3,000",21-Jun-08,21-Jun-08,
31,Jack Smith Lightning,Mendocino,"3,000",21-Jun-08,13-Jul-08,
32,Mallo B,Mendocino,"4,466",21-Jun-08,17-Jul-08,
33,Squaw 1 Lightning 2,Mendocino,"3,000",21-Jun-08,13-Jul-08,
34,Red Mountain 1,Mendocino,"7,515",21-Jun-08,1-Aug-08,
35,Gate Lightning,Mendocino,"3,000",21-Jun-08,13-Jul-08,
36,Soda Complex,Lake,"8,632",21-Jun-08,26-Jul-08,
37,Canyon Complex,Plumas,"47,680",21-Jun-08,30-Sep-08,
38,Iron Alps Complex,Trinity,"105,805",21-Jun-08,9-Sep-08,
39,Sta 57 Ono Cdf Igo 2,Shasta,"4,000",21-Jun-08,24-Jul-08,
40,Whitmore Old Crow C2,Shasta,"2,054",21-Jun-08,15-Jul-08,
41,EO2A,Shasta,"1,200",21-Jun-08,6-Jul-08,
42,Stein,Shasta,"1,148",21-Jun-08,7-Jul-08,
43,Moon,Shasta,"6,030",21-Jun-08,9-Aug-08,
44,Platina 4,Trinity,"12,980",21-Jun-08,4-Jul-08,
45,Lewiston 8,Trinity,"1,311",21-Jun-08,23-Jul-08,
46,Lakehead,Shasta,"27,936",21-Jun-08,23-Aug-08,
47,Oliver,Mariposa,"2,200",21-Jun-08,26-Jun-08,
48,North Mountain,Tuolumne,"2,889",21-Jun-08,3-Jul-08,
49,American River Complex,Placer,"20,541",21-Jun-08,30-Jul-08,
50,Yuba River Complex,Sierra,"4,254",21-Jun-08,15-Jul-08,
51,Whiskeytown Complex,Shasta,"6,420",21-Jun-08,19-Jul-08,
52,Klamath Theater Complex,Siskiyou,"192,038",21-Jun-08,30-Sep-08,
53,Popcorn,Lassen,"3,000",22-Jun-08,8-Jul-08,
54,Mill Complex,Tehama,"2,100",22-Jun-08,29-Jun-08,
55,Walker,Lake,"15,000",22-Jun-08,29-Jun-08,
56,Orr Springs Rd Ukv 2,Mendocino,"3,000",22-Jun-08,10-Jul-08,
57,5-8 Cliff Lightning,Mendocino,"1,000",22-Jun-08,13-Jul-08,
58,Venture,Shasta,"1,912",22-Jun-08,4-Jul-08,
59,Corral,Lassen,"12,500",23-Jun-08,7-Jul-08,
60,Oliver,Mariposa,"2,789",23-Jun-08,6-Jul-08,
61,Mill Creek,Tehama,"13,580",24-Jun-08,1-Jul-08,
62,Piute,Kern,"37,026",28-Jun-08,25-Jul-08,
63,Hardy,Mendocino,"5,581",30-Jun-08,30-Jun-08,
64,Gap,Santa Barbara,"9,443",1-Jul-08,28-Jul-08,
65,Butch Lightning,Mendocino,"2,800",4-Jul-08,4-Jul-08,
66,Lost Pipe Lightning,Mendocino,"1,200",4-Jul-08,10-Jul-08,
67,Jack Smith Lightning,Mendocino,"2,000",4-Jul-08,15-Jul-08,
68,Albion Lightning,Mendocino,"3,000",4-Jul-08,8-Jul-08,
69,Horse Lightning,Mendocino,"1,000",4-Jul-08,8-Jul-08,
70,Orr Series Lightning,Mendocino,"3,000",4-Jul-08,13-Jul-08,
71,Montgomery Flat Lightning,Mendocino,"3,000",4-Jul-08,15-Jul-08,
72,Alder Creek Beach,Mendocino,"1,000",7-Jul-08,7-Jul-08,
73,Tehipite,Fresno,"11,596",19-Jul-08,11-Nov-08,
74,Panther,Siskiyou,"72,344",24-Jul-08,30-Sep-08,
75,Telegraph,Mariposa,"34,091",25-Jul-08,15-Sep-08,
76,Rich,Plumas,"6,112",29-Jul-08,10-Aug-08,
77,Craig,Butte,"2,001",3-Aug-08,11-Aug-08,
78,Rim,Butte,"1,651",13-Aug-08,13-Aug-08,
79,Empire,Butte,"2,000",13-Aug-08,13-Aug-08,
80,Camp Beldon and Pit,Butte,"47,647",8-Jul-08,13-Aug-08,
81,Smokey,Butte,"1,324",13-Aug-08,13-Aug-08,
82,Jack,Siskiyou,"6,900",17-Aug-08,22-Aug-08,
83,Gladding,Placer,"1,000",1-Sep-08,3-Sep-08,
84,Gulch,Shasta,"2,847",7-Sep-08,11-Sep-08,
85,Hidden,Tulare,"3,668",10-Sep-08,30-Sep-08,
86,Chalk,Monterey,"16,269",25-Sep-08,29-Oct-08,
87,November,San Diego,"1,400",8-Oct-08,9-Oct-08,
88,Marek,Los Angeles,"4,824",12-Oct-08,16-Oct-08,
89,Sesnon,Los Angeles,"14,703",13-Oct-08,18-Oct-08,
90,Juliett,San Diego,"4,026",13-Oct-08,17-Oct-08,
91,Lackerman,Butte,"1,310",23-Oct-08,23-Oct-08,
92,Tea,Santa Barbara,"1,940",13-Nov-08,17-Nov-08,
93,Sayre,Los Angeles,"11,200",14-Nov-08,20-Nov-08,
94,Freeway Complex,Riverside,"30,305",15-Nov-08,22-Nov-08,
0,Jesusita,Santa Barbara,"8,733",5-May-09,20-May-09,
1,Grouse,Mariposa,"3,047",30-May-09,13-Jul-09,
2,Harden,Tuolumne,"1,661",8-Jun-09,11-Jul-09,
3,Explosive,San Joaquin,"2,163",19-Jun-09,19-Jun-09,
4,Lion Complex,Tulare,"3,988",30-Jun-09,21-Aug-09,
5,Backbone,Trinity,"6,324",1-Jul-09,24-Jul-09,
6,Yankee,San Diego,"2,200",11-Jul-09,14-Jul-09,
7,Fork,Inyo,"3,268",18-Jul-09,27-Jul-09,
8,Tennant,Siskiyou,"3,225",19-Jul-09,27-Jul-09,
9,Knight,Tuolumne,"6,130",26-Jul-09,11-Aug-09,
10,Wildcat,Tuolumne,"1,100",29-Jul-09,31-Aug-09,
11,Hat Creek Complex,Shasta,"11,269",1-Aug-09,12-Aug-09,
12,W-4,Lassen,"1,500",1-Aug-09,7-Aug-09,
13,Dodge Complex,Lassen,"1,600",1-Aug-09,3-Aug-09,
14,Brown,Shasta,"1,000",2-Aug-09,12-Aug-09,
15,Fairfield,Shasta,"1,664",2-Aug-09,21-Aug-09,
16,Chalk (Shu Complex),Shasta,"6,895",3-Aug-09,16-Aug-09,
17,Goose (Shu Complex),Shasta,"3,918",3-Aug-09,17-Aug-09,
18,Cassel (Shu Complex),Shasta,"6,319",3-Aug-09,14-Aug-09,
19,La Brea,Santa Barbara,"89,489",8-Aug-09,23-Aug-09,
20,Lockheed,Santa Cruz,"7,817",12-Aug-09,23-Aug-09,
21,Coffin,Trinity,"1,300",12-Aug-09,15-Aug-09,
22,Corral,San Joaquin,"12,200",13-Aug-09,16-Aug-09,
23,Yuba,Yuba,"3,891",14-Aug-09,24-Aug-09,
24,Red Rock,Siskiyou,"1,364",21-Aug-09,4-Sep-09,
25,Morris,Los Angeles,"2,168",25-Aug-09,3-Sep-09,
26,Bryson,Monterey,"3,383",25-Aug-09,29-Aug-09,
27,Station,Los Angeles,"160,577",26-Aug-09,16-Oct-09,
28,Big Meadows,Mariposa,"7,425",26-Aug-09,10-Sep-09,
29,Gloria,Monterey,"6,437",27-Aug-09,1-Sep-09,
30,Cottonwood,Riverside,"2,409",27-Aug-09,31-Aug-09,
31,Pacheco,Santa Clara,"1,600",29-Aug-09,30-Aug-09,
32,Oak Glen III,San Bernardino,"1,159",30-Aug-09,8-Sep-09,
33,Oasis,Lake,"1,500",7-Sep-09,12-Sep-09,
34,Guiberson,Ventura,"17,500",22-Sep-09,1-Oct-09,
35,Six,Yolo,"1,235",1-Oct-09,1-Oct-09,
36,Sheep,San Bernardino,"7,128",3-Oct-09,10-Oct-09,
37,Mill Creek #4,Humboldt,"2,750",7-Oct-09,17-Oct-09,
0,Cotton,San Luis Obispo,"2,044",15-May-10,17-May-10,
1,McKinley,Riverside,"1,000",20-May-10,22-May-10,
2,Robinson,Merced,"1,600",11-Jun-10,12-Jun-10,
3,Aliso,San Diego,"3,225",13-Jul-10,13-Jul-10,
4,Sand 2,Kern,"1,254",16-Jul-10,22-Jul-10,
5,Indian,Kern,"1,822",18-Jul-10,24-Jul-10,
6,Mono,Mono,"1,205",26-Jul-10,29-Jul-10,
7,Bull,Kern,"16,442",26-Jul-10,10-Aug-10,
8,McDonald,Lassen,"9,408",27-Jul-10,10-Aug-10,
9,West,Kern,"1,650",27-Jul-10,6-Aug-10,
10,Crown,Los Angeles,"13,918",29-Jul-10,3-Aug-10,
11,Bar,Plumas,"1,040",31-Jul-10,10-Aug-10,
12,Pozo,San Luis Obispo,"1,200",21-Aug-10,22-Aug-10,
13,Post,Kern,"1,312",25-Aug-10,28-Aug-10,
