incident_acres_burned,incident_dateonly_extinguished,incident_containment,incident_name,incident_county,STNAME,FIPS
3500,2006-07-05,100,Boulder Complex,Plumas County,CA,06063
4300,2006-06-30,100,Observation Complex,Lassen County,CA,06035
3750,2006-06-29,100,Goodale,Inyo County,CA,06027
1247,2006-06-27,100,Yolla Bolly,Tehama County,CA,06103
2590,2006-07-03,100,Del Puerto,Stanislaus County,CA,06099
2000,2006-07-05,100,Pedro,Tuolumne County,CA,06109
2000,2006-07-10,100,Pushwalla Complex,Riverside County,CA,06065
1780,2006-07-09,100,Happy Complex,Modoc County,CA,06049
34000,2006-07-17,100,Canyon,Stanislaus County,CA,06099
62000,2006-07-20,100,Sawtooth Complex,San Bernardino County,CA,06071
24210,2006-07-09,100,Millard Fire Assist,Riverside County,CA,06065
1500,2006-07-12,100,Beck,San Luis Obispo County,CA,06079
6400,2006-07-11,100,Midway,Alameda County,CA,06001
1234,2006-07-21,100,Creek,Lassen County,CA,06035
1325,2006-07-21,100,Coytoe,Tulare County,CA,06107
25007,2006-07-21,100,Olive,Merced County,CA,06047
14506,2006-07-27,100,Ricco,Monterey County,CA,06053
8400,2006-07-22,100,Three Rocks,Fresno County,CA,06019
16681,2006-08-01,100,Horse,San Diego County,CA,06073
3318,2006-09-24,100,Happy Camp,Siskiyou County,CA,06093
30454,2006-10-31,100,Uncles Complex,Siskiyou County,CA,06093
15710,2006-09-30,100,Oorleans Complex,Humboldt County,CA,06023
1094,2006-07-25,100,Empire,Los Angeles County,CA,06037
16296,2006-07-26,100,Hunter,Mendocino County,CA,06045
1283,2006-07-28,100,Hoy,Siskiyou County,CA,06093
100414,2006-07-27,100,Bar Complex,Trinity County,CA,06105
4855,2006-08-05,100,Sage,Modoc County,CA,06049
3126,2006-07-29,100,Junction,Trinity County,CA,06105
6854,2006-08-02,100,Kingsley,Tehama County,CA,06103
2346,2006-08-06,100,Cottonwood,Kern County,CA,06029
4864,2006-08-16,100,Quail,Los Angeles County,CA,06037
6452,2006-10-16,100,Pigeon,Trinity County,CA,06105
169702,2006-10-02,100,Day,Ventura County,CA,06111
8423,2006-09-18,100,Ralston,Placer County,CA,06061
7434,2006-09-15,100,Sawmill,Mono County,CA,06051
1580,2006-09-16,100,Orchard,Riverside County,CA,06065
1670,2006-09-17,100,Ranch,Riverside County,CA,06065
2370,2006-09-21,100,Pinnacles,San Bernardino County,CA,06071
2114,2006-09-26,100,Bassetts,Sierra County,CA,06091
1014,2006-09-30,100,Noble,Mendocino County,CA,06045
1600,2006-10-25,100,Phelps,Fresno County,CA,06019
40200,2006-10-31,100,Esperanza,Riverside County,CA,06065
13600,2006-12-05,100,Shekell,Ventura County,CA,06111
4025,2006-12-09,100,Westside,Kern County,CA,06029
2036,2007-03-13,100,241,Orange County,CA,06059
1044,2007-03-12,100,Sierra,Riverside County,CA,06065
4100,2007-04-01,100,Las Flores,San Bernardino County,CA,06071
1988,2007-04-15,100,Golden,Inyo County,CA,06027
1350,2007-05-05,100,James,Kern County,CA,06029
4750,2007-05-15,100,Island,Los Angeles County,CA,06037
2050,2007-05-22,100,Gorman,Los Angeles County,CA,06037
2140,2007-06-04,100,Shannon,Tulare County,CA,06107
4196,2007-06-28,100,Goldledge,Tulare County,CA,06107
1500,2007-06-06,100,Inkopah,Imperial County,CA,06025
3100,2007-07-02,100,Angora,El Dorado County,CA,06017
12454,2007-07-03,100,White,Kern County,CA,06029
2300,2007-06-28,100,Mission,Monterey County,CA,06053
240207,2007-09-04,100,Zaca,Santa Barbara County,CA,06083
22902,2007-07-13,100,Antelope Complex,Plumas County,CA,06063
35176,2007-07-16,100,Inyo Complex,Inyo County,CA,06027
1005,2007-07-07,100,Rock 2,Tulare County,CA,06107
8121,2007-07-19,100,Fletcher,Modoc County,CA,06049
17684,2007-09-15,100,Elk Complex,Siskiyou County,CA,06093
2906,2007-07-21,100,China-Back Complex,Siskiyou County,CA,06093
1057,2007-08-07,100,Bangor,Butte County,CA,06007
5644,2007-08-19,100,Tar,Kings County,CA,06031
1022,2007-09-08,100,Grouse,Tulare County,CA,06107
1440,2007-09-03,100,Wallow,Trinity County,CA,06105
2200,2007-09-08,100,North,Los Angeles County,CA,06037
47760,2007-09-11,100,Lick,Santa Clara County,CA,06085
64997,2007-09-15,100,Moonlight,Plumas County,CA,06063
2170,2007-09-16,100,Pine,San Diego County,CA,06073
14039,2007-10-01,100,Butler 2,San Bernardino County,CA,06071
58401,2007-10-30,100,Ranch,Los Angeles County,CA,06037
4521,2007-10-27,100,Canyon,Los Angeles County,CA,06037
710,2007-10-30,100,Sedgewick Fire,Santa Barbara County,CA,06083
90440,2007-11-05,100,Harris,San Diego County,CA,06073
197990,2007-11-06,100,Witch,San Diego County,CA,06073
400,2007-10-26,100,McCoy Fire[nb 1],San Diego County,CA,06073
38356,2007-11-01,100,Buckweed,Los Angeles County,CA,06037
28400,2007-11-09,100,Santiago,Orange County,CA,06059
650,2007-10-24,100,Little Mountain Fire,San Bernardino County,CA,06071
2824,2007-10-27,100,Magic,Los Angeles County,CA,06037
12759,2007-10-31,100,Slide,San Bernardino County,CA,06071
9472,2007-11-01,100,Rice,San Diego County,CA,06073
1247,2007-10-29,100,Grass Valley,San Bernardino County,CA,06071
58401,2007-10-30,100,Meadowridge Fire,Los Angeles County,CA,06037
49410,2007-11-13,100,Poomacha[nb 1],San Diego County,CA,06073
21004,2007-10-29,100,Ammo (Horno) Fire,San Diego County,CA,06073
1108,2007-12-15,100,Jack,Mariposa County,CA,06043
4901,2007-11-27,100,Corral,Los Angeles County,CA,06037
1130,2008-04-19,100,Wawona Nw,Mariposa County,CA,06043
1225,2008-05-23,100,Honey Bee,Tulare County,CA,06107
1331,2008-05-09,100,Colyear,Tehama County,CA,06103
1100,2008-05-21,100,Avocado,Fresno County,CA,06019
4270,2008-05-27,100,Summit,Santa Cruz County,CA,06087
15300,2008-07-20,100,Clover,Tulare County,CA,06107
81378,2008-07-10,100,Indians,Monterey County,CA,06053
6400,2008-06-12,100,Jackson,Sacramento County,CA,06067
1600,2008-06-13,100,Ophir,Butte County,CA,06007
3300,2008-06-11,100,41,Madera County,CA,06039
1346,2008-06-11,100,Lagrange,Tuolumne County,CA,06109
23344,2008-06-21,100,Humboldt,Butte County,CA,06007
7783,2008-06-22,100,Whiskey,Tehama County,CA,06103
1000,2008-06-30,100,Albion River Lightning,Mendocino County,CA,06045
98715,2008-08-15,100,Lime Complex,Trinity County,CA,06105
3705,2008-07-21,100,Mad Complex,Trinity County,CA,06105
15146,2008-07-28,100,Hells Half Complex,Trinity County,CA,06105
29327,2008-09-15,100,South Complex,Humboldt County,CA,06023
3870,2008-06-24,100,Brown Complex,San Benito County,CA,06069
3206,2008-06-21,100,West Branch,Butte County,CA,06007
10000,2008-06-21,100,Frey,Butte County,CA,06007
1248,2008-06-21,100,Flea Valley,Butte County,CA,06007
1248,2008-06-21,100,Flea Valley 2,Butte County,CA,06007
1076,2008-08-01,100,Paradise,Humboldt County,CA,06023
82186,2008-09-30,100,Blue 2 Complex,Siskiyou County,CA,06093
3000,2008-06-22,100,Popcorn,Lassen County,CA,06035
19718,2008-07-20,100,Cub Complex,Lassen County,CA,06035
7842,2008-07-02,100,Peterson Complex,Lassen County,CA,06035
4200,2008-06-26,100,Wild,Napa County,CA,06055
162818,2008-07-27,100,Basin Complex,Monterey County,CA,06053
3000,2008-06-21,100,Wagers Lightning,Mendocino County,CA,06045
3000,2008-07-13,100,Jack Smith Lightning,Mendocino County,CA,06045
4466,2008-07-17,100,Mallo B,Mendocino County,CA,06045
3000,2008-07-13,100,Squaw 1 Lightning 2,Mendocino County,CA,06045
7515,2008-08-01,100,Red Mountain 1,Mendocino County,CA,06045
3000,2008-07-13,100,Gate Lightning,Mendocino County,CA,06045
8632,2008-07-26,100,Soda Complex,Lake County,CA,06033
47680,2008-09-30,100,Canyon Complex,Plumas County,CA,06063
105805,2008-09-09,100,Iron Alps Complex,Trinity County,CA,06105
