Name,County,Acres,Start Date,Contained Date,active,Percent contained,Difference,Year
Mission,Madera,1035,2017-09-03,2017-09-13,False,100,10,2017
Buck,Trinity,13417,2017-09-12,2017-11-20,False,100,69,2017
Lion,Tulare,18900,2017-09-24,2017-12-02,False,100,69,2017
Canyon,Riverside,2662,2017-09-25,2017-10-04,False,100,9,2017
Cherokee,Butte,8417,2017-10-08,2017-10-16,False,100,8,2017
Atlas,Napa/Solano,51624,2017-10-08,2017-10-31,False,100,23,2017
Tubbs,Napa/Sonoma,36807,2017-10-08,2017-10-31,False,100,23,2017
Nuns,Sonoma,56556,2017-10-08,2017-10-30,False,100,22,2017
Redwood Valley Complex,Mendocino,36523,2017-10-08,2017-10-28,False,100,20,2017
La Porte,Butte,6151,2017-10-09,2017-10-18,False,100,9,2017
Cascade,Yuba,9989,2017-10-09,2017-10-18,False,100,9,2017
Sulphur,Lake,2207,2017-10-09,2017-10-26,False,100,17,2017
Canyon 2,Orange,9217,2017-10-09,2017-10-18,False,100,9,2017
37,Sonoma,1660,2017-10-09,2017-10-13,False,100,4,2017
Pocket,Sonoma,17357,2017-10-09,2017-10-31,False,100,22,2017
Lobo,Nevada,821,2017-10-09,2017-10-18,False,100,9,2017
Bear,Santa Cruz,391,2017-10-16,2017-10-27,False,100,11,2017
Buffalo Fire,San Diego,1088,2017-10-17,2017-11-14,False,100,28,2017
Wildomar,Riverside,866,2017-10-27,2017-10-29,False,100,2,2017
Thomas,Ventura/Santa Barbara,281893,2017-12-04,2018-01-12,False,100,39,2018
Creek,Los Angeles,15619,2017-12-05,2018-01-09,False,100,35,2018
Rye,Los Angeles,6049,2017-12-05,2017-12-12,False,100,7,2017
Little Mountain,San Bernardino,260,2017-12-05,2017-12-07,False,100,2,2017
Skirball,Los Angeles,422,2017-12-06,2017-12-15,False,100,9,2017
Lilac,San Diego,4100,2017-12-07,2017-12-16,False,100,9,2017
Liberty,Riverside,300,2017-12-07,2017-12-09,False,100,2,2017
Pleasant,Inyo,2070,2018-02-18,2018-04-03,False,100,44,2018
Moffat,Inyo,1265,2018-04-19,2018-05-21,False,100,32,2018
Nees,Merced,1756,2018-05-02,2018-05-17,False,100,15,2018
Patterson,Riverside,1261,2018-05-17,2018-05-21,False,100,4,2018
Panoche,San Benito,64,2018-06-04,2018-06-07,False,100,3,2018
Stone,Los Angeles,1352,2018-06-04,2018-06-13,False,100,9,2018
Airline,San Benito,1314,2018-06-04,2018-06-14,False,100,10,2018
Apple,Tehama,2956,2018-06-09,2018-06-14,False,100,5,2018
Chrome,Glenn,2290,2018-06-09,2018-06-21,False,100,12,2018
Lions,Madera,13347,2018-06-11,2018-10-01,False,100,112,2018
Planada,Merced,4564,2018-06-15,2018-06-21,False,100,6,2018
Yankee,San Luis Obispo,1500,2018-06-20,2018-07-01,False,100,11,2018
Lane,Tehama,3716,2018-06-23,2018-07-04,False,100,11,2018
Pawnee,Lake,15185,2018-06-23,2018-07-08,False,100,15,2018
Creek,Madera,1678,2018-06-24,2018-07-05,False,100,11,2018
Waverly,San Joaquin,12300,2018-06-29,2018-07-02,False,100,3,2018
County,"Lake, Napa, Yolo",90288,2018-06-30,2018-07-14,False,100,14,2018
Klamathon,Siskiyou,38008,2018-07-05,2018-07-16,False,100,11,2018
